node,node,weight
理科大楼_57,后勤保障部,2
理科大楼_58,理科大楼_11,7
理科大楼_59,图书馆逸夫楼,8
理科大楼_60,理科大楼_52,7
理科大楼_61,虹梅路警卫室,1
理科大楼_62,理科大楼_50,1
理科大楼_63,百花园餐厅,5
理科大楼_64,百花园餐厅,8
理科大楼_65,理科大楼_27,8
理科大楼_66,排球场,4
理科大楼_67,理科大楼_20,5
理科大楼_68,理科大楼_11,3
理科大楼_69,闵行图书馆,9
理科大楼_70,国际教育中心,2
理科大楼_71,第二教学楼,10
理科大楼_72,团委,7
理科大楼_73,理科大楼_20,10
理科大楼_74,理科大楼_70,10
理科大楼_75,紫竹广场,3
理科大楼_76,实验B楼,9
理科大楼_77,理科大楼_72,1
理科大楼_78,物理楼,9
理科大楼_79,理科大楼_26,2
理科大楼_80,理科大楼_35,2
理科大楼_81,校史馆,1
理科大楼_82,信息楼,6
理科大楼_83,资产管理处,10
理科大楼_84,人事处,2
理科大楼_85,理科大楼_70,2
理科大楼_86,银之春西餐厅,6
理科大楼_87,理科大楼_15,2
理科大楼_88,理科大楼_8,10
理科大楼_89,地理馆,9
理科大楼_90,虹梅路警卫室,5
理科大楼_91,东操场,2
理科大楼_92,行政楼,10
理科大楼_93,共青场,4
理科大楼_94,理科大楼_74,2
理科大楼_95,理科大楼_81,9
理科大楼_96,校史馆,3
理科大楼_97,理科大楼_46,9
理科大楼_98,第一教学楼,9
理科大楼_99,理科大楼_65,2
理科大楼_100,理科大楼_24,4
理科大楼_101,理科大楼_29,4
理科大楼_102,理科大楼_15,3
理科大楼_103,群贤堂,2
理科大楼_104,理科大楼_5,9
理科大楼_105,理科大楼_91,10
理科大楼_106,科技处,4
理科大楼_107,心中书社,6
理科大楼_108,本科生公寓1号楼,3
理科大楼_109,研究生公寓1号楼,8
理科大楼_110,理科大楼_53,4
理科大楼_111,理科大楼_39,3
理科大楼_112,理科大楼_21,8
理科大楼_113,丽娃浴室,3
理科大楼_114,足球场,9
理科大楼_115,理科大楼_56,5
理科大楼_116,外语学院楼,2
理科大楼_117,数统楼,6
理科大楼_118,资产管理处,10
理科大楼_119,理科大楼_103,8
理科大楼_120,本科生公寓3号楼,8
理科大楼_121,秋实阁,9
理科大楼_122,排球场,9
理科大楼_123,理科大楼_13,6
理科大楼_124,理科大楼_63,5
理科大楼_125,理科大楼_71,10
理科大楼_126,实验A楼,1
理科大楼_127,理科大楼_116,8
理科大楼_128,理科大楼_7,2
理科大楼_129,生命科学学院楼,1
理科大楼_130,地理馆,5
理科大楼_131,理科大楼_9,5
理科大楼_132,理科大楼_29,9
理科大楼_133,理科大楼_43,3
理科大楼_134,理科大楼_66,3
理科大楼_135,理科大楼_84,7
理科大楼_136,理科大楼_104,1
理科大楼_137,外语学院楼,1
理科大楼_138,理科大楼_20,4
理科大楼_139,理科大楼_26,4
理科大楼_140,本科生公寓6号楼,9
理科大楼_141,心理与认知科学学院楼,9
理科大楼_142,本科生公寓4号楼,10
理科大楼_143,理科大楼_68,3
理科大楼_144,理科大楼_137,10
理科大楼_145,理科大楼_28,2
理科大楼_146,理科大楼_73,9
理科大楼_147,本科生公寓6号楼,7
理科大楼_148,理科大楼_9,3
理科大楼_149,闵行校区大门,10
理科大楼_150,理科大楼_128,10
理科大楼_151,化学实验楼,6
理科大楼_152,理科大楼_107,6
理科大楼_153,理科大楼_63,1
理科大楼_154,第二教学楼,10
理科大楼_155,生物实验楼,2
理科大楼_156,教育学部楼,4
理科大楼_157,理科大楼_15,1
理科大楼_158,校园警卫室,4
理科大楼_159,理科大楼_14,8
理科大楼_160,闵行图书馆,9
理科大楼_161,篮球场,1
理科大楼_162,理科大楼_67,3
理科大楼_163,信息化办公室,9
理科大楼_164,闵行图书馆,8
理科大楼_165,理科大楼_92,4
理科大楼_166,理科大楼_35,6
理科大楼_167,理科大楼_24,4
理科大楼_168,理科大楼_66,7
理科大楼_169,学生活动中心,3
理科大楼_170,理科大楼_98,8
理科大楼_171,东操场,10
理科大楼_172,理科大楼_113,3
理科大楼_173,理科大楼_137,5
理科大楼_174,理科大楼_27,5
理科大楼_175,理科大楼_25,9
理科大楼_176,理科大楼_135,8
理科大楼_177,闵行校区大门,8
理科大楼_178,理科大楼_115,7
理科大楼_179,人事处,1
理科大楼_180,理科大楼_11,3
理科大楼_181,理科大楼_178,9
理科大楼_182,SPF实验动物中心,1
理科大楼_183,理科大楼_110,9
理科大楼_184,理科大楼_88,6
理科大楼_185,理科大楼_142,7
理科大楼_186,理科大楼_80,10
理科大楼_187,东操场,9
理科大楼_188,理科大楼_95,7
理科大楼_189,生物实验楼,7
理科大楼_190,理科大楼_107,6
理科大楼_191,理科大楼_142,8
理科大楼_192,研究生公寓4号楼,1
理科大楼_193,音乐学院楼,7
理科大楼_194,理科大楼_148,8
理科大楼_195,理科大楼_124,8
理科大楼_196,丽娃浴室,7
理科大楼_197,理科大楼_150,9
理科大楼_198,理科大楼_134,3
理科大楼_199,研究生公寓2号楼,5
理科大楼_200,校史馆,10
理科大楼_201,本科生公寓5号楼,6
理科大楼_202,人事处,1
理科大楼_203,紫竹广场,6
理科大楼_204,申云轩餐厅,5
理科大楼_205,研究生公寓3号楼,9
理科大楼_206,理科大楼_4,10
理科大楼_207,信息楼,10
理科大楼_208,理科大楼_196,6
理科大楼_209,理科大楼_107,7
理科大楼_210,理科大楼_2,8
理科大楼_211,河东食堂,5
理科大楼_212,思群堂,5
理科大楼_213,理科大楼_54,1
理科大楼_214,理科大楼_182,6
理科大楼_215,理科大楼_76,2
理科大楼_216,第三教学楼,7
理科大楼_217,实验A楼,10
理科大楼_218,理科大楼_73,5
理科大楼_219,理科大楼_161,4
理科大楼_220,法商楼,3
理科大楼_221,数统楼,10
理科大楼_222,闵行校区大门,9
理科大楼_223,河西食堂,9
理科大楼_224,理科大楼_132,8
理科大楼_225,理科大楼_207,6
理科大楼_226,理科大楼_137,1
理科大楼_227,人事处,10
理科大楼_228,理科大楼_158,2
理科大楼_229,桃李园广场,2
理科大楼_230,理科大楼_168,3
理科大楼_231,理科大楼_215,4
理科大楼_232,立体停车库,2
理科大楼_233,理科大楼_110,3
理科大楼_234,理科大楼_219,10
理科大楼_235,法商楼,2
理科大楼_236,秋实阁,5
理科大楼_237,理科大楼_95,5
理科大楼_238,理科大楼_35,9
理科大楼_239,理科大楼_183,7
理科大楼_240,理科大楼_60,7
理科大楼_241,实验B楼,4
理科大楼_242,河东浴室,10
理科大楼_243,河西浴室,5
理科大楼_244,理科大楼_7,2
理科大楼_245,行政楼,8
理科大楼_246,理科大楼_109,7
理科大楼_247,国际教育中心,7
理科大楼_248,理科大楼_20,2
理科大楼_249,理科大楼_221,2
理科大楼_250,理科大楼_71,6
理科大楼_251,理科大楼_142,7
理科大楼_252,理科大楼_149,9
理科大楼_253,理科大楼_4,1
理科大楼_254,理科大楼_219,7
理科大楼_255,理科大楼_188,5
理科大楼_256,理科大楼_209,8
理科大楼_257,理科大楼_91,1
理科大楼_258,本科生公寓4号楼,3
理科大楼_259,理科大楼_179,3
理科大楼_260,校园警卫室,7
理科大楼_261,理科大楼_183,9
理科大楼_262,理科大楼_145,8
理科大楼_263,理科大楼_244,10
理科大楼_264,理科大楼_215,5
理科大楼_265,理科大楼_216,8
理科大楼_266,学术交流中心,10
理科大楼_267,中北校区大门,7
理科大楼_268,理科大楼_124,9
理科大楼_269,理科大楼_33,6
理科大楼_270,理科大楼_87,1
理科大楼_271,理科大楼_147,9
理科大楼_272,理科大楼_262,5
理科大楼_273,理科大楼_80,2
理科大楼_274,理科大楼_152,3
理科大楼_275,理科大楼_183,5
理科大楼_276,理科大楼_237,10
理科大楼_277,学校办公室,2
理科大楼_278,外语学院楼,6
理科大楼_279,理科大楼_246,2
理科大楼_280,理科大楼_18,1
理科大楼_281,理科大楼_204,10
理科大楼_282,游泳馆,8
理科大楼_283,理科大楼_247,9
理科大楼_284,理科大楼_271,1
理科大楼_285,理科大楼_6,9
理科大楼_286,理科大楼_148,10
理科大楼_287,理科大楼_216,4
理科大楼_288,理科大楼_27,8
理科大楼_289,理科大楼_168,8
理科大楼_290,图书馆逸夫楼,4
理科大楼_291,校医院,8
理科大楼_292,桃李园广场,5
理科大楼_293,理科大楼_100,5
理科大楼_294,理科大楼_7,4
理科大楼_295,理科大楼_13,7
理科大楼_296,理科大楼_280,7
理科大楼_297,理科大楼_144,5
理科大楼_298,华闵餐厅,9
理科大楼_299,本科生公寓6号楼,4
理科大楼_300,理科大楼_298,5
理科大楼_301,理科大楼_145,6
理科大楼_302,理科大楼_108,10
理科大楼_303,理科大楼_110,2
理科大楼_304,丽娃湖,4
理科大楼_305,实验B楼,10
理科大楼_306,理科大楼_87,3
理科大楼_307,河口海岸大楼,4
理科大楼_308,篮球场,7
理科大楼_309,理科大楼_154,5
理科大楼_310,西操场,5
理科大楼_311,理科大楼_85,7
理科大楼_312,丽娃食堂,1
理科大楼_313,理科大楼_121,10
理科大楼_314,理科大楼_38,3
理科大楼_315,理科大楼_270,8
理科大楼_316,莲花路警卫室,8
理科大楼_317,理科大楼_119,1
理科大楼_318,理科大楼_86,3
理科大楼_319,理科大楼_238,6
理科大楼_320,理科大楼_66,1
理科大楼_321,共青场,7
理科大楼_322,理科大楼_228,1
理科大楼_323,理科大楼_129,9
理科大楼_324,丽娃浴室,4
理科大楼_325,理科大楼_61,3
理科大楼_326,理科大楼_277,4
理科大楼_327,理科大楼_110,6
理科大楼_328,理科大楼_29,6
理科大楼_329,理科大楼_212,10
理科大楼_330,理科大楼_142,6
理科大楼_331,理科大楼_88,9
理科大楼_332,理科大楼_63,2
理科大楼_333,理科大楼_314,5
理科大楼_334,理科大楼_59,2
理科大楼_335,理科大楼_31,5
理科大楼_336,理科大楼_273,8
理科大楼_337,理科大楼_254,7
理科大楼_338,理科大楼_10,3
理科大楼_339,理科大楼_83,7
理科大楼_340,理科大楼_266,5
理科大楼_341,理科大楼_309,2
理科大楼_342,理科大楼_309,1
理科大楼_343,理科大楼_137,8
理科大楼_344,理科大楼_53,7
理科大楼_345,理科大楼_222,6
理科大楼_346,理科大楼_279,4
理科大楼_347,理科大楼_191,6
理科大楼_348,理科大楼_205,2
理科大楼_349,理科大楼_346,5
理科大楼_350,理科大楼_233,8
理科大楼_351,理科大楼_126,6
理科大楼_352,档案馆,6
理科大楼_353,理科大楼_100,5
理科大楼_354,理科大楼_182,1
理科大楼_355,理科大楼_207,9
理科大楼_356,图书馆逸夫楼,2
理科大楼_357,理科大楼_163,5
理科大楼_358,学校办公室,4
理科大楼_359,教育学部楼,9
理科大楼_360,理科大楼_158,9
理科大楼_361,心中书社,5
理科大楼_362,理科大楼_312,8
理科大楼_363,理科大楼_113,8
理科大楼_364,理科大楼_208,7
理科大楼_365,理科大楼_30,2
理科大楼_366,理科大楼_348,7
理科大楼_367,行政楼,10
理科大楼_368,审计处,4
理科大楼_369,理科大楼_262,7
理科大楼_370,理科大楼_10,10
理科大楼_371,理科大楼_230,2
理科大楼_372,理科大楼_235,4
理科大楼_373,理科大楼_54,6
理科大楼_374,理科大楼_341,7
理科大楼_375,理科大楼_10,6
理科大楼_376,理科大楼_74,10
理科大楼_377,本科生公寓2号楼,9
理科大楼_378,理科大楼_280,1
理科大楼_379,理科大楼_30,2
理科大楼_380,理科大楼_378,10
理科大楼_381,理科大楼_16,7
理科大楼_382,理科大楼_37,1
理科大楼_383,学校办公室,3
理科大楼_384,理科大楼_296,5
理科大楼_385,理科大楼_60,7
理科大楼_386,实验教学中心,10
理科大楼_387,理科大楼_294,3
理科大楼_388,理科大楼_27,7
理科大楼_389,理科大楼_2,5
理科大楼_390,理科大楼_22,3
理科大楼_391,理科大楼_330,4
理科大楼_392,音乐学院楼,10
理科大楼_393,理科大楼_208,3
理科大楼_394,理科大楼_319,1
理科大楼_395,统计学院楼,6
理科大楼_396,理科大楼_263,2
理科大楼_397,理科大楼_355,4
理科大楼_398,理科大楼_68,9
理科大楼_399,理科大楼_396,7
理科大楼_400,理科大楼_136,7
理科大楼_401,理科大楼_287,3
理科大楼_402,SPF实验动物中心,1
理科大楼_403,理科大楼_10,9
理科大楼_404,理科大楼_216,6
理科大楼_405,理科大楼_313,2
理科大楼_406,理科大楼_103,4
理科大楼_407,理科大楼_195,2
理科大楼_408,理科大楼_160,3
理科大楼_409,河东浴室,4
理科大楼_410,理科大楼_369,7
理科大楼_411,SPF实验动物中心,9
理科大楼_412,理科大楼_187,2
理科大楼_413,理科大楼_122,3
理科大楼_414,第一教学楼,5
理科大楼_415,研究生公寓4号楼,9
理科大楼_416,理科大楼_298,8
理科大楼_417,理科大楼_72,3
理科大楼_418,理科大楼_207,5
理科大楼_419,理科大楼_402,7
理科大楼_420,理科大楼_100,2
理科大楼_421,理科大楼_61,10
理科大楼_422,理科大楼_374,2
理科大楼_423,理科大楼_164,4
理科大楼_424,理科大楼_196,7
理科大楼_425,东操场,5
理科大楼_426,理科大楼_235,8
理科大楼_427,理科大楼_339,4
理科大楼_428,理科大楼_206,6
理科大楼_429,理科大楼_215,5
理科大楼_430,理科大楼_397,6
理科大楼_431,理科大楼_421,1
理科大楼_432,理科大楼_282,9
理科大楼_433,校园警卫室,10
理科大楼_434,理科大楼_285,7
理科大楼_435,理科大楼_35,3
理科大楼_436,理科大楼_187,9
理科大楼_437,群贤堂,5
理科大楼_438,理科大楼_235,9
理科大楼_439,理科大楼_358,10
理科大楼_440,理科大楼_252,10
理科大楼_441,化学实验楼,4
理科大楼_442,理科大楼_103,6
理科大楼_443,实验教学中心,1
理科大楼_444,理科大楼_159,7
理科大楼_445,本科生公寓5号楼,8
理科大楼_446,理科大楼_365,6
理科大楼_447,东操场,10
理科大楼_448,理科大楼_313,3
理科大楼_449,理科大楼_191,1
理科大楼_450,理科大楼_75,3
理科大楼_451,综合体育馆,7
理科大楼_452,理科大楼_164,2
理科大楼_453,理科大楼_432,7
理科大楼_454,理科大楼_51,2
理科大楼_455,理科大楼_169,2
理科大楼_456,理科大楼_354,7
理科大楼_457,实验B楼,10
理科大楼_458,理科大楼_69,6
理科大楼_459,理科大楼_61,2
理科大楼_460,理科大楼_415,3
理科大楼_461,学生活动中心,9
理科大楼_462,第一教学楼,9
理科大楼_463,理科大楼_383,8
理科大楼_464,美术学院楼,6
理科大楼_465,理科大楼_64,3
理科大楼_466,理科大楼_462,7
理科大楼_467,理科大楼_22,3
理科大楼_468,理科大楼_278,3
理科大楼_469,理科大楼_212,7
理科大楼_470,理科大楼_167,3
理科大楼_471,理科大楼_82,4
理科大楼_472,河西食堂,10
理科大楼_473,理科大楼_78,5
理科大楼_474,理科大楼_21,10
理科大楼_475,理科大楼_372,9
理科大楼_476,排球场,4
理科大楼_477,理科大楼_121,1
理科大楼_478,理科大楼_415,6
理科大楼_479,理科大楼_159,6
理科大楼_480,理科大楼_252,9
理科大楼_481,理科大楼_52,1
理科大楼_482,资产管理处,9
理科大楼_483,理科大楼_110,7
理科大楼_484,理科大楼_141,5
理科大楼_485,理科大楼_128,8
理科大楼_486,商学院楼,2
理科大楼_487,理科大楼_68,6
理科大楼_488,理科大楼_41,7
理科大楼_489,理科大楼_467,9
理科大楼_490,理科大楼_287,2
理科大楼_491,河西食堂,10
理科大楼_492,理科大楼_369,10
理科大楼_493,理科大楼_102,9
理科大楼_494,理科大楼_432,2
理科大楼_495,理科大楼_3,5
理科大楼_496,理科大楼_115,7
理科大楼_497,理科大楼_406,3
理科大楼_498,理科大楼_45,5
理科大楼_499,理科大楼_346,6
理科大楼_500,理科大楼_289,7
理科大楼_501,理科大楼_445,2
理科大楼_502,理科大楼_148,2
理科大楼_503,理科大楼_124,1
理科大楼_504,实验A楼,9
理科大楼_505,理科大楼_297,8
理科大楼_506,理科大楼_356,10
理科大楼_507,理科大楼_398,7
理科大楼_508,理科大楼_235,8
理科大楼_509,物理信息楼,3
理科大楼_510,信息楼,3
理科大楼_511,理科大楼_231,4
理科大楼_512,理科大楼_362,2
理科大楼_513,理科大楼_260,7
理科大楼_514,理科大楼_292,5
理科大楼_515,物理楼,8
理科大楼_516,理科大楼_38,1
理科大楼_517,翔华书店,5
理科大楼_518,理科大楼_414,3
理科大楼_519,行政楼,6
理科大楼_520,桃李园广场,9
理科大楼_521,丽娃河,7
理科大楼_522,理科大楼_34,9
理科大楼_523,理科大楼_165,10
理科大楼_524,理科大楼_457,10
理科大楼_525,理科大楼_139,4
理科大楼_526,理科大楼_231,10
理科大楼_527,理科大楼_92,8
理科大楼_528,理科大楼_372,4
理科大楼_529,本科生公寓2号楼,1
理科大楼_530,理科大楼_470,4
理科大楼_531,理科大楼_161,9
理科大楼_532,理科大楼_134,1
理科大楼_533,理科大楼_333,9
理科大楼_534,理科大楼_276,9
理科大楼_535,理科大楼_370,8
理科大楼_536,实验A楼,8
理科大楼_537,理科大楼_297,6
理科大楼_538,紫竹广场,4
理科大楼_539,美术学院楼,6
理科大楼_540,理科大楼_497,3
理科大楼_541,立体停车库,10
理科大楼_542,理科大楼_534,6
理科大楼_543,理科大楼_537,10
理科大楼_544,理科大楼_30,3
理科大楼_545,理科大楼_19,9
理科大楼_546,理科大楼_46,9
理科大楼_547,理科大楼_346,4
理科大楼_548,理科大楼_382,8
理科大楼_549,理科大楼_543,7
理科大楼_550,翔华书店,7
理科大楼_551,理科大楼_422,7
理科大楼_552,理科大楼_395,9
理科大楼_553,理科大楼_222,10
理科大楼_554,理科大楼_321,7
理科大楼_555,理科大楼_64,2
理科大楼_556,理科大楼_58,3
理科大楼_557,理科大楼_429,3
理科大楼_558,理科大楼_18,10
理科大楼_559,理科大楼_49,7
理科大楼_560,理科大楼_436,5
理科大楼_561,理科大楼_413,2
理科大楼_562,本科生公寓2号楼,9
理科大楼_563,理科大楼_326,10
理科大楼_564,理科大楼_288,10
理科大楼_565,理科大楼_336,4
理科大楼_566,虹梅路警卫室,5
理科大楼_567,理科大楼_67,1
理科大楼_568,理科大楼_238,3
理科大楼_569,理科大楼_321,5
理科大楼_570,理科大楼_88,5
理科大楼_571,理科大楼_557,10
理科大楼_572,理科大楼_476,1
理科大楼_573,理科大楼_370,5
理科大楼_574,理科大楼_233,6
理科大楼_575,理科大楼_383,7
理科大楼_576,理科大楼_84,3
理科大楼_577,理科大楼_456,1
理科大楼_578,理科大楼_406,5
理科大楼_579,理科大楼_179,7
理科大楼_580,马克思主义学院楼,6
理科大楼_581,理科大楼_169,3
理科大楼_582,理科大楼_100,10
理科大楼_583,理科大楼_278,2
理科大楼_584,理科大楼_484,9
理科大楼_585,理科大楼_560,3
理科大楼_586,国际教育中心,7
理科大楼_587,理科大楼_554,5
理科大楼_588,理科大楼_175,9
理科大楼_589,理科大楼_150,6
理科大楼_590,中北校区大门,5
理科大楼_591,理科大楼_139,10
理科大楼_592,理科大楼_546,4
理科大楼_593,理科大楼_76,7
理科大楼_594,理科大楼_406,5
理科大楼_595,理科大楼_8,10
理科大楼_596,理科大楼_273,7
理科大楼_597,理科大楼_191,4
理科大楼_598,理科大楼_467,5
理科大楼_599,华闵餐厅,5
理科大楼_600,理科大楼_101,8
理科大楼_601,理科大楼_344,6
理科大楼_602,理科大楼_514,10
理科大楼_603,理科大楼_295,7
理科大楼_604,理科大楼_469,6
理科大楼_605,理科大楼_353,4
理科大楼_606,理科大楼_366,9
理科大楼_607,理科大楼_370,9
理科大楼_608,理科大楼_314,8
理科大楼_609,理科大楼_482,2
理科大楼_610,理科大楼_510,3
理科大楼_611,理科大楼_133,4
理科大楼_612,华闵餐厅,2
理科大楼_613,理科大楼_88,9
理科大楼_614,理科大楼_84,8
理科大楼_615,本科生公寓4号楼,6
理科大楼_616,理科大楼_3,7
理科大楼_617,理科大楼_525,10
理科大楼_618,理科大楼_35,5
理科大楼_619,理科大楼_564,5
理科大楼_620,理科大楼_530,8
理科大楼_621,理科大楼_527,6
理科大楼_622,理科大楼_409,1
理科大楼_623,理科大楼_489,2
理科大楼_624,理科大楼_220,8
理科大楼_625,理科大楼_486,9
理科大楼_626,理科大楼_285,10
理科大楼_627,理科大楼_199,9
理科大楼_628,研究生公寓3号楼,4
理科大楼_629,理科大楼_565,1
理科大楼_630,理科大楼_392,8
理科大楼_631,理科大楼_70,2
理科大楼_632,理科大楼_601,8
理科大楼_633,马克思主义学院楼,7
理科大楼_634,理科大楼_137,8
理科大楼_635,理科大楼_337,2
理科大楼_636,理科大楼_76,9
理科大楼_637,理科大楼_336,1
理科大楼_638,理科大楼_614,10
理科大楼_639,理科大楼_540,3
理科大楼_640,理科大楼_439,7
理科大楼_641,理科大楼_272,1
理科大楼_642,理科大楼_220,8
理科大楼_643,理科大楼_619,8
理科大楼_644,理科大楼_582,7
理科大楼_645,理科大楼_328,5
理科大楼_646,理科大楼_7,4
理科大楼_647,理科大楼_121,2
理科大楼_648,理科大楼_136,9
理科大楼_649,理科大楼_546,2
理科大楼_650,理科大楼_522,8
理科大楼_651,理科大楼_557,5
理科大楼_652,理科大楼_534,1
理科大楼_653,理科大楼_211,9
理科大楼_654,理科大楼_642,6
理科大楼_655,理科大楼_533,4
理科大楼_656,理科大楼_56,2
理科大楼_657,理科大楼_49,9
理科大楼_658,理科大楼_496,10
理科大楼_659,理科大楼_113,6
理科大楼_660,行政楼,3
理科大楼_661,理科大楼_160,7
理科大楼_662,理科大楼_570,10
理科大楼_663,理科大楼_201,6
理科大楼_664,理科大楼_613,1
理科大楼_665,理科大楼_292,5
理科大楼_666,理科大楼_589,6
理科大楼_667,理科大楼_536,2
理科大楼_668,理科大楼_220,3
理科大楼_669,理科大楼_333,7
理科大楼_670,理科大楼_302,8
理科大楼_671,理科大楼_626,5
理科大楼_672,理科大楼_212,3
理科大楼_673,理科大楼_371,2
理科大楼_674,理科大楼_616,3
理科大楼_675,理科大楼_106,2
理科大楼_676,理科大楼_186,2
理科大楼_677,理科大楼_319,4
理科大楼_678,理科大楼_571,5
理科大楼_679,理科大楼_47,1
理科大楼_680,理科大楼_161,1
理科大楼_681,理科大楼_171,1
理科大楼_682,理科大楼_665,10
理科大楼_683,理科大楼_542,8
理科大楼_684,理科大楼_338,2
理科大楼_685,理科大楼_678,2
理科大楼_686,理科大楼_144,9
理科大楼_687,基建处,5
理科大楼_688,理科大楼_315,5
理科大楼_689,理科大楼_395,1
理科大楼_690,理科大楼_674,8
理科大楼_691,理科大楼_547,8
理科大楼_692,理科大楼_265,5
理科大楼_693,理科大楼_20,6
理科大楼_694,理科大楼_554,5
理科大楼_695,理科大楼_485,7
理科大楼_696,理科大楼_506,8
理科大楼_697,理科大楼_576,2
理科大楼_698,理科大楼_220,7
